Schlüssel-Profilmap,Profilnummer,Buchungskreis,Sparte,Profilname,Profiltyp,ProfilID (SBP),SBPNomenklatur,ProfilID (SBP) Map SigLinDe,SBPNomenklaturMapSigLinDE,Stand
,1000000000,,Strom,H0 Haushaltskunden Niedersachsen,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1000000001,,Strom,G0 Gewerbe allgemein Niedersachsen,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1000000002,,Strom,G1 Gewerbe werktags 8-18 Niedersachsen,Gewerbe werktags,G1,G1,G1,G1,2019-04-13 00:00:00
,1000000003,,Strom,G2 Gewerbe mit Verbrauch Abend Niedersachsen,Gewerbe Abendstunden,G2,G2,G2,G2,2019-04-13 00:00:00
,1000000004,,Strom,G3 Gewerbe durchlaufend Niedersachsen,Gewerbe durchlaufend,G3,G3,G3,G3,2019-04-13 00:00:00
,1000000005,,Strom,G4 Laden/Friseur Niedersachsen,Laden/Friseur,G4,G4,G4,G4,2019-04-13 00:00:00
,1000000006,,Strom,G5 Bäckerei mit Backstube Niedersachsen,Bäckerei,G5,G5,G5,G5,2019-04-13 00:00:00
,1000000007,,Strom,G6 Wochenendbetrieb Niedersachsen,Gewerbe Wochenendbetrieb,G6,G6,G6,G6,2019-04-13 00:00:00
,1000000008,,Strom,L0 Landwirtschaftsbetriebe Niedersachsen,Landwirtschaft allgemein,L0,L0,L0,L0,2019-04-13 00:00:00
,1000000010,,Strom,L2 Übrige Landwirtschaftsbetriebe Niedersachsen,Übrige Landwirtschaftsbetriebe ,L2,L2,L2,L2,2019-04-13 00:00:00
,1000000011,,Strom,H0 Haushaltskunden Sachsen-Anhalt,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1000000012,,Strom,G0 Gewerbe allgemein Sachsen-Anhalt,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1000000013,,Strom,G1 Gewerbe werktags 8-18 Sachsen-Anhalt,Gewerbe werktags,G1,G1,G1,G1,2019-04-13 00:00:00
,1000000014,,Strom,G2 Gewerbe mit Verbrauch Abend Sachsen-Anhalt,Gewerbe Abendstunden,G2,G2,G2,G2,2019-04-13 00:00:00
,1000000015,,Strom,G3 Gewerbe durchlaufend Sachsen-Anhalt,Gewerbe durchlaufend,G3,G3,G3,G3,2019-04-13 00:00:00
,1000000016,,Strom,G4 Laden/Friseur Sachsen-Anhalt,Laden/Friseur,G4,G4,G4,G4,2019-04-13 00:00:00
,1000000017,,Strom,G5 Bäckerei mit Backstube Sachsen-Anhalt,Bäckerei,G5,G5,G5,G5,2019-04-13 00:00:00
,1000000018,,Strom,G6 Wochenendbetrieb Sachsen-Anhalt,Gewerbe Wochenendbetrieb,G6,G6,G6,G6,2019-04-13 00:00:00
,1000000019,,Strom,L0 Landwirtschaftsbetriebe Sachsen-Anhalt,Landwirtschaft allgemein,L0,L0,L0,L0,2019-04-13 00:00:00
,1000000022,,Strom,H0 Haushaltskunden Sachsen,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1000000023,,Strom,G0 Gewerbe allgemein Sachsen,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1000000024,,Strom,G1 Gewerbe werktags 8-18 Sachsen,Gewerbe werktags,G1,G1,G1,G1,2019-04-13 00:00:00
,1000000027,,Strom,G4 Laden/Friseur Sachsen,Laden/Friseur,G4,G4,G4,G4,2019-04-13 00:00:00
,1000000033,,Strom,H0 Haushaltskunden Mecklenburg-Vorpommern,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1000000034,,Strom,G0 Gewerbe allgemein Mecklenburg-Vorpommern,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1000000035,,Strom,G1 Gewerbe werktags 8-18 Mecklenburg-Vorpommern,Gewerbe werktags,G1,G1,G1,G1,2019-04-13 00:00:00
,1000000044,,Strom,H0 Haushaltskunden Brandenburg,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1000000045,,Strom,G0 Gewerbe allgemein Brandenburg,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1000000046,,Strom,G1 Gewerbe werktags 8-18 Brandenburg,Gewerbe werktags,G1,G1,G1,G1,2019-04-13 00:00:00
,1000000047,,Strom,G2 Gewerbe mit Verbrauch Abend Brandenburg,Gewerbe Abendstunden,G2,G2,G2,G2,2019-04-13 00:00:00
,1000000048,,Strom,G3 Gewerbe durchlaufend Brandenburg,Gewerbe durchlaufend,G3,G3,G3,G3,2019-04-13 00:00:00
,1000000049,,Strom,G4 Laden/Friseur Brandenburg,Laden/Friseur,G4,G4,G4,G4,2019-04-13 00:00:00
,1000000050,,Strom,G5 Bäckerei mit Backstube Brandenburg,Bäckerei,G5,G5,G5,G5,2019-04-13 00:00:00
,1000000051,,Strom,G6 Wochenendbetrieb Brandenburg,Gewerbe Wochenendbetrieb,G6,G6,G6,G6,2019-04-13 00:00:00
,1000000052,,Strom,L0 Landwirtschaftsbetriebe Brandenburg,Landwirtschaft allgemein,L0,L0,L0,L0,2019-04-13 00:00:00
,1000000055,,Strom,H0 Haushaltskunden Berlin,Haushalt,H21,H21,H21,H21,2019-04-13 00:00:00
