holidaycalendar,holiday,description,creationname,creationdate,revisionname,revisiondate
Argus Europe,2002-01-01 00:00:00,New Year's Day,Touhami elfahdi,2007-01-31 16:34:22,,
Argus Europe,2002-03-29 00:00:00,Good Friday,Touhami elfahdi,2007-01-31 16:34:22,,
Argus Europe,2002-04-01 00:00:00,Easter Monday,Touhami elfahdi,2007-01-31 16:34:22,,
Argus Europe,2002-05-06 00:00:00,May Day Holiday,Touhami elfahdi,2007-01-31 16:34:22,,
Argus Europe,2002-06-03 00:00:00,Golden Jubilee,Touhami elfahdi,2007-01-31 16:34:22,,
Argus Europe,2002-06-04 00:00:00,Golden Jubilee,Touhami elfahdi,2007-01-31 16:34:22,,
Argus Europe,2002-08-26 00:00:00,Bank Holiday,Touhami elfahdi,2007-01-31 16:34:22,,
Argus Europe,2002-12-25 00:00:00,Christmas,Touhami elfahdi,2007-01-31 16:34:22,,
Argus Europe,2002-12-26 00:00:00,Boxing Day,Touhami elfahdi,2007-01-31 16:34:22,,
Argus Europe,2003-01-01 00:00:00,New Year's Day,Touhami elfahdi,2007-01-31 16:34:22,,
Argus Europe,2003-04-18 00:00:00,Good Friday,Touhami elfahdi,2007-01-31 16:34:22,,
Argus Europe,2003-04-21 00:00:00,Easter Monday,Touhami elfahdi,2007-01-31 16:34:22,,
Argus Europe,2003-05-05 00:00:00,May Day Holiday,Touhami elfahdi,2007-01-31 16:34:22,,
Argus Europe,2003-08-25 00:00:00,Bank Holiday,Touhami elfahdi,2007-01-31 16:34:22,,
Argus Europe,2003-12-25 00:00:00,Christmas,Touhami elfahdi,2007-01-31 16:34:22,,
Argus Europe,2003-12-26 00:00:00,Boxing Day,Touhami elfahdi,2007-01-31 16:34:22,,
Argus Europe,2004-01-01 00:00:00,New Year's Day,Touhami elfahdi,2007-01-31 16:34:22,,
Argus Europe,2004-04-09 00:00:00,Good Friday,Touhami elfahdi,2007-01-31 16:34:22,,
Argus Europe,2004-04-12 00:00:00,Easter Monday,Touhami elfahdi,2007-01-31 16:34:22,,
Argus Europe,2004-05-03 00:00:00,May Day Holiday,Touhami elfahdi,2007-01-31 16:34:22,,
Argus Europe,2004-08-30 00:00:00,Bank Holiday,Touhami elfahdi,2007-01-31 16:34:22,,
Argus Europe,2004-12-27 00:00:00,Christmas,Touhami elfahdi,2007-01-31 16:34:22,,
Argus Europe,2004-12-28 00:00:00,Boxing Day,Touhami elfahdi,2007-01-31 16:34:22,,
Argus Europe,2005-01-03 00:00:00,New Year's Day,Touhami elfahdi,2007-01-31 16:34:22,,
Argus Europe,2005-03-25 00:00:00,Good Friday,Touhami elfahdi,2007-01-31 16:34:22,,
Argus Europe,2005-03-28 00:00:00,Easter Monday,Touhami elfahdi,2007-01-31 16:34:22,,
Argus Europe,2005-05-02 00:00:00,May Day Holiday,Touhami elfahdi,2007-01-31 16:34:22,,
